BuyItNow,startprice,carrier,color,productline,noDescription,charCountDescription,upperCaseDescription,sold
0,199.99,None,White,Galaxy_S9,contains description,0,0,1
0,235,None,,Galaxy_Note9,contains description,0,0,0
0,199.99,,,Unknown,no description,100,2,0
1,175,AT&T,Space Gray,Galaxy_Note9,contains description,0,0,1
1,100,None,Space Gray,Galaxy_S8,contains description,0,0,1
1,0.99,,White,Galaxy_S7,contains description,0,0,1
1,150,None,White,Galaxy_S9,contains description,0,0,1
0,199.99,None,Midnight Black,Galaxy_S9,no description,92,0,1
0,99.99,None,White,Galaxy_S7,contains description,0,0,0
1,20,AT&T,Midnight Black,Galaxy_S7,no description,96,41,1
0,75,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,199.99,None,White,Galaxy_S9,no description,98,3,1
0,344.95,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,184.5,None,Midnight Black,Galaxy_Note8,no description,100,4,1
0,209.98,None,White,Galaxy_Note9,no description,100,6,0
0,375,None,White,Galaxy_Note10,contains description,0,0,1
0,95,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,187.5,None,Midnight Black,Galaxy_Note8,no description,84,3,0
0,329.99,,Space Gray,Unknown,contains description,0,0,0
0,149,Sprint/T-Mobile,White,Galaxy_Note10,contains description,0,0,0
0,238.8,None,Space Gray,Galaxy_Note9,no description,96,4,0
0,84.99,AT&T,,Galaxy_S7,no description,16,15,1
0,249.99,None,,Galaxy_S9,no description,101,2,0
0,309.99,None,White,Galaxy_S9,no description,92,20,0
0,319.95,None,Space Gray,Galaxy_Note10,no description,71,6,1
0,185,None,,Galaxy_Note8,no description,96,2,1
0,90,None,,Galaxy_S7,no description,98,2,1
0,299.98,None,,Galaxy_Note10,no description,100,6,0
1,49,None,Aura Black,Galaxy_Note10,contains description,0,0,1
0,444.99,None,,Galaxy_Note10,contains description,0,0,0
0,480,None,,Galaxy_Note10,no description,77,1,0
0,225,AT&T,,Galaxy_Note8,no description,20,1,1
0,79,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,159.99,None,Midnight Black,Galaxy_Note8,no description,101,3,0
0,199.99,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,115,None,,Galaxy_S7,no description,14,1,0
0,289.95,,Midnight Black,Galaxy_S7,contains description,0,0,0
0,499.95,None,White,Galaxy_Note10,no description,81,7,0
0,550,None,Aura Black,Galaxy_Note10,contains description,0,0,0
0,209.99,None,White,Galaxy_Note8,no description,100,2,0
0,185,None,,Galaxy_Note8,no description,96,2,1
1,100,Verizon,,Galaxy_S9,no description,11,0,1
1,279.99,Verizon,,Galaxy_Note10,contains description,0,0,1
0,614.99,None,,Galaxy_Note10,contains description,0,0,1
0,259,AT&T,,Galaxy_Note8,no description,81,2,0
0,240,None,White,Galaxy_S9,contains description,0,0,0
0,69.99,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,398.99,None,,Galaxy_Note10,no description,8,2,0
1,175,None,,Galaxy_Note9,contains description,0,0,1
0,84.99,None,Space Gray,Galaxy_S8,contains description,0,0,0
0,269.99,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,295,Verizon,,Galaxy_S9,no description,31,1,0
0,210,Sprint/T-Mobile,White,Galaxy_S8,no description,70,3,0
1,160,None,White,Galaxy_Note10,contains description,0,0,1
0,304.89,None,,Galaxy_S9,no description,96,15,0
0,195,None,,Galaxy_S8,contains description,0,0,0
0,319,,Gold,Unknown,contains description,0,0,0
0,389.99,None,Space Gray,Galaxy_Note10,contains description,0,0,0
0,79.99,AT&T,Midnight Black,Galaxy_S7,no description,93,4,1
0,254.99,AT&T,,Galaxy_S9,contains description,0,0,0
1,115,AT&T,Midnight Black,Galaxy_Note8,no description,101,2,1
0,279.99,,,Galaxy_Note10,no description,86,3,0
1,75,None,,Galaxy_S7,contains description,0,0,1
1,135,None,,Galaxy_S8,contains description,0,0,1
0,130,None,Midnight Black,Galaxy_S8,no description,93,6,1
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,380,None,,Galaxy_Note10,contains description,0,0,1
0,169.95,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,319.85,None,Aura Black,Galaxy_Note10,contains description,0,0,0
0,329.99,AT&T,,Galaxy_Note10,contains description,0,0,0
0,130,None,Midnight Black,Galaxy_S8,no description,93,6,1
0,550,None,Gold,Galaxy_Note10,contains description,0,0,0
1,305,None,White,Galaxy_Note10,contains description,0,0,1
1,450,None,,Galaxy_Note10,contains description,0,0,1
0,194.29,None,White,Galaxy_S8,no description,96,15,0
0,193.15,,,Unknown,contains description,0,0,0
1,62,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,489.99,None,,Galaxy_Note10,no description,86,5,0
1,99,None,White,Galaxy_Note8,contains description,0,0,1
1,45,None,,Galaxy_Note8,no description,25,1,1
0,199.99,None,Midnight Black,Galaxy_Note8,contains description,0,0,0
0,264.99,None,Space Gray,Galaxy_Note9,no description,99,4,1
0,349,None,Space Gray,Galaxy_Note10,contains description,0,0,0
1,160,None,Black,Galaxy_Note9,no description,37,1,0
0,295,,White,Galaxy_S9,no description,95,4,0
0,199,None,White,Galaxy_S9,contains description,0,0,1
0,279.95,None,,Galaxy_S7,contains description,0,0,0
0,149.95,,Midnight Black,Galaxy_S7,contains description,0,0,0
1,290,None,White,Galaxy_Note10,contains description,0,0,1
0,339.99,None,Space Gray,Galaxy_Note10,contains description,0,0,1
0,99,AT&T,Midnight Black,Galaxy_S7,no description,98,3,0
0,320,,White,Galaxy_S9,no description,98,2,0
1,255,,Midnight Black,Galaxy_S8,contains description,0,0,0
1,114.99,None,,Galaxy_S8,no description,98,6,1
1,250,None,White,Galaxy_Note10,no description,100,11,1
0,250,None,,Galaxy_Note8,no description,21,1,0
0,549.99,Verizon,Space Gray,Galaxy_Note10,contains description,0,0,0
0,215,AT&T,,Galaxy_S8,contains description,0,0,1
1,325,None,Space Gray,Galaxy_Note10,contains description,0,0,1
1,199.99,Sprint/T-Mobile,White,Galaxy_Note10,no description,43,1,1
0,249.99,Verizon,Midnight Black,Galaxy_S9,no description,98,4,0
0,299.99,,White,Galaxy_S8,contains description,0,0,0
1,159.99,None,White,Galaxy_S8,contains description,0,0,1
1,9.99,None,White,Galaxy_Note8,contains description,0,0,1
1,125,None,Midnight Black,Galaxy_S9,contains description,0,0,1
0,344,None,,Galaxy_S9,no description,31,1,0
1,100,None,,Galaxy_S7,contains description,0,0,0
0,250,None,,Galaxy_Note8,no description,21,1,0
1,100,,,Unknown,no description,33,4,1
0,225,Verizon,Midnight Black,Galaxy_Note8,contains description,0,0,0
1,49.49,None,,Galaxy_S7,contains description,0,0,1
1,225,AT&T,Midnight Black,Galaxy_S9,contains description,0,0,0
0,389.99,None,,Galaxy_Note10,no description,96,20,0
1,255,None,Midnight Black,Galaxy_S9,contains description,0,0,1
1,25,AT&T,,Galaxy_S7,no description,105,4,1
0,274.99,AT&T,Space Gray,Galaxy_Note10,no description,102,12,0
1,0.99,None,,Galaxy_S8,contains description,0,0,1
1,185,None,,Galaxy_Note8,no description,61,3,1
1,250,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,99,Sprint/T-Mobile,Space Gray,Galaxy_Note9,contains description,0,0,1
0,215,AT&T,White,Galaxy_Note8,no description,93,4,0
1,58,,Black,Unknown,contains description,0,0,1
0,187.5,None,Midnight Black,Galaxy_Note8,no description,101,4,0
0,189.99,None,White,Galaxy_Note8,no description,44,2,1
0,229,None,Space Gray,Galaxy_Note9,contains description,0,0,0
1,0.99,None,,Galaxy_Note8,no description,95,7,1
0,639.99,,,Galaxy_Note10,contains description,0,0,0
1,40,None,,Galaxy_S7,no description,75,0,1
1,29.99,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
1,49.99,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
0,199,,,Galaxy_S8,contains description,0,0,1
0,294.99,None,White,Galaxy_Note10,no description,95,5,0
0,499,Sprint/T-Mobile,White,Galaxy_Note9,contains description,0,0,1
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,299.99,AT&T,Space Gray,Galaxy_Note10,contains description,0,0,0
0,270,,White,Galaxy_S9,no description,95,4,0
1,80,AT&T,Midnight Black,Galaxy_S7,no description,33,1,1
1,0.01,None,,Galaxy_S9,contains description,0,0,1
0,399.99,None,White,Galaxy_Note10,no description,40,30,0
0,279.95,None,,Galaxy_S7,contains description,0,0,0
1,50,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
0,329,None,Black,Galaxy_Note9,contains description,0,0,0
0,187.5,None,Midnight Black,Galaxy_Note8,no description,100,4,0
0,269,None,,Galaxy_Note9,contains description,0,0,0
1,50,AT&T,,Galaxy_S8,contains description,0,0,1
1,0.99,None,White,Galaxy_S8,no description,55,1,1
1,65,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,89.99,None,Midnight Black,Galaxy_S8,contains description,0,0,1
0,184.95,Verizon,Midnight Black,Galaxy_Note8,no description,99,12,1
1,99,None,Space Gray,Galaxy_S8,no description,19,3,1
1,225,Verizon,White,Galaxy_Note9,contains description,0,0,1
1,200,AT&T,,Galaxy_Note10,contains description,0,0,1
1,100,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,0
0,319,None,Aura Black,Galaxy_Note10,no description,78,1,1
1,99.99,None,Space Gray,Galaxy_S8,contains description,0,0,1
1,174.95,None,,Galaxy_S9,contains description,0,0,1
0,299,,White,Galaxy_S9,no description,93,4,0
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,62,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,250,,Midnight Black,Galaxy_Note8,contains description,0,0,0
1,100,Verizon,,Galaxy_Note8,no description,99,0,1
1,200,,,Galaxy_Note8,contains description,0,0,0
1,99.99,None,White,Galaxy_S8,no description,58,2,1
0,404.99,None,Aura Black,Galaxy_Note10,no description,13,0,0
1,0.99,,,Galaxy_Note10,no description,87,8,1
1,50,None,Black,Unknown,no description,54,2,0
0,89.99,None,Space Gray,Galaxy_S8,contains description,0,0,0
1,49.99,,Black,Unknown,no description,46,2,1
1,100,Verizon,Midnight Black,Galaxy_S8,contains description,0,0,1
1,79.99,None,,Galaxy_S9,no description,98,3,1
0,309.99,,,Galaxy_S9,no description,93,4,0
0,415,,,Galaxy_Note10,no description,80,5,1
0,269,None,,Galaxy_Note9,contains description,0,0,0
1,184.99,None,Space Gray,Galaxy_Note10,no description,50,2,1
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,165,None,White,Galaxy_Note8,contains description,0,0,1
1,25,,,Unknown,contains description,0,0,1
0,299,,White,Galaxy_S9,no description,93,4,0
1,99,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,374.95,None,White,Galaxy_Note10,contains description,0,0,0
0,75,None,Midnight Black,Galaxy_S7,contains description,0,0,0
0,175,None,,Galaxy_Note8,contains description,0,0,1
0,480,None,Gold,Galaxy_Note10,no description,100,2,0
0,465.99,None,Aura Black,Galaxy_Note10,no description,89,6,0
0,399.99,None,,Galaxy_S9,no description,31,1,0
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,70,None,Black,Unknown,no description,20,1,1
1,1,Verizon,Midnight Black,Galaxy_S7,no description,98,4,1
1,150,AT&T,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,187.99,None,,Galaxy_Note9,contains description,0,0,0
1,42,None,White,Galaxy_S7,contains description,0,0,1
1,399.99,None,White,Galaxy_Note10,no description,98,8,1
0,339,None,White,Galaxy_Note9,contains description,0,0,1
0,319.95,AT&T,White,Galaxy_Note10,no description,73,3,0
0,398.99,None,,Galaxy_Note10,no description,8,2,0
1,55,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,99.99,Verizon,,Galaxy_Note8,no description,18,0,0
1,175,Verizon,White,Galaxy_Note8,contains description,0,0,1
1,140,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,155,,,Unknown,no description,100,4,0
1,400,None,Space Gray,Galaxy_Note10,contains description,0,0,0
1,1,None,,Galaxy_Note8,contains description,0,0,1
0,89.99,AT&T,Midnight Black,Galaxy_S8,no description,41,2,1
0,114.94,AT&T,,Galaxy_S7,contains description,0,0,0
1,200,None,,Galaxy_Note10,contains description,0,0,1
1,229.97,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,0
1,40,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,499.99,AT&T,Space Gray,Galaxy_S8,contains description,0,0,0
0,334.99,,Gold,Unknown,contains description,0,0,0
1,250,AT&T,White,Galaxy_Note10,no description,95,4,0
1,59.95,None,White,Unknown,contains description,0,0,1
1,50,None,,Galaxy_S8,contains description,0,0,1
1,225,AT&T,White,Galaxy_S9,contains description,0,0,0
0,320,AT&T,Gold,Galaxy_Note10,no description,98,5,0
1,200,Verizon,White,Galaxy_Note8,contains description,0,0,1
1,29.99,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
1,75,None,White,Galaxy_Note8,no description,19,2,1
0,305,,Midnight Black,Galaxy_S9,contains description,0,0,1
1,150,None,Space Gray,Galaxy_S8,contains description,0,0,1
1,78,AT&T,,Galaxy_S7,no description,95,3,1
0,300,None,Space Gray,Galaxy_Note10,contains description,0,0,1
0,399,None,Gold,Galaxy_Note10,no description,101,4,0
1,0.01,Verizon,,Galaxy_S9,no description,11,1,1
1,20,None,,Galaxy_S7,no description,49,1,0
1,100,None,Space Gray,Galaxy_Note10,contains description,0,0,1
1,0.01,,,Galaxy_S7,contains description,0,0,1
1,41,,,Unknown,contains description,0,0,1
0,439.99,None,,Galaxy_Note10,contains description,0,0,0
1,250,Verizon,Midnight Black,Galaxy_Note8,no description,101,2,1
1,0.99,None,White,Galaxy_S8,contains description,0,0,1
1,0.99,Verizon,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,5,,White,Unknown,contains description,0,0,1
1,19.99,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,50,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
1,89.99,None,Midnight Black,Galaxy_S8,contains description,0,0,0
1,490,None,,Galaxy_Note10,contains description,0,0,1
1,99,None,Space Gray,Galaxy_S8,contains description,0,0,1
1,200,None,White,Galaxy_Note8,contains description,0,0,0
1,39.99,None,Midnight Black,Galaxy_S7,no description,102,1,1
1,58,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,225,None,,Galaxy_S9,no description,100,3,0
1,200,None,Space Gray,Galaxy_Note10,contains description,0,0,1
1,0.99,Verizon,,Galaxy_S8,no description,30,1,1
0,80,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,250,None,,Galaxy_Note10,contains description,0,0,1
1,25,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,100,None,,Galaxy_S8,no description,99,2,1
1,185,None,White,Galaxy_S9,no description,97,2,1
0,305,,Midnight Black,Galaxy_S9,contains description,0,0,1
1,500,Sprint/T-Mobile,Space Gray,Galaxy_Note10,contains description,0,0,0
0,350,None,,Galaxy_Note9,contains description,0,0,0
0,187.99,None,,Galaxy_Note9,contains description,0,0,0
0,109.98,AT&T,,Galaxy_S7,no description,100,6,0
0,350,AT&T,White,Galaxy_Note10,contains description,0,0,0
1,19.95,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,5,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
1,70,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,125,None,,Galaxy_S8,contains description,0,0,1
1,0.99,None,Space Gray,Galaxy_Note10,no description,49,5,1
0,80,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
1,100,AT&T,Space Gray,Galaxy_Note10,no description,94,2,1
0,375,Verizon,,Galaxy_S9,no description,39,1,1
1,20,None,White,Galaxy_S7,no description,68,3,1
1,99.75,None,White,Galaxy_S9,contains description,0,0,1
0,250,None,,Galaxy_S8,no description,101,2,0
1,100,None,,Galaxy_Note9,contains description,0,0,1
1,400,None,,Galaxy_Note10,contains description,0,0,1
1,48,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,0.99,AT&T,Midnight Black,Galaxy_S7,no description,16,15,1
1,40,,White,Unknown,contains description,0,0,1
1,295,Verizon,Space Gray,Galaxy_Note10,no description,100,4,1
0,130,None,White,Galaxy_S8,no description,26,19,1
1,310,None,White,Galaxy_Note10,contains description,0,0,1
1,80,None,,Galaxy_S7,no description,100,2,1
0,250,None,White,Galaxy_S10,no description,49,0,1
1,150,None,Midnight Black,Galaxy_S8,contains description,0,0,0
1,99.99,None,Black,Unknown,no description,15,1,1
1,40,AT&T,,Galaxy_S7,no description,88,2,1
0,75,None,Midnight Black,Galaxy_S7,contains description,0,0,1
1,50,None,Midnight Black,Galaxy_S7,contains description,0,0,1
0,292.5,None,,Galaxy_Note10,no description,8,2,1
1,100,None,,Galaxy_S8,contains description,0,0,1
1,134.61,None,White,Galaxy_Note8,contains description,0,0,1
1,100,None,,Galaxy_S8,no description,34,2,1
0,275,Verizon,,Galaxy_S8,contains description,0,0,0
1,0.99,,Midnight Black,Galaxy_S7,no description,88,0,1
1,75,AT&T,Midnight Black,Galaxy_S7,contains description,0,0,1
0,189.99,AT&T,,Galaxy_S8,no description,100,2,0
1,149.99,None,,Galaxy_Note10,no description,102,8,1
1,75,AT&T,White,Galaxy_S7,contains description,0,0,1
1,1,Verizon,Midnight Black,Galaxy_S8,no description,108,8,1
0,99.99,,,Galaxy_S7,contains description,0,0,0
0,199.99,None,,Galaxy_S8,contains description,0,0,1
1,149.99,None,,Galaxy_S8,contains description,0,0,1
0,339,Verizon,White,Galaxy_Note8,contains description,0,0,0
1,99,None,Space Gray,Galaxy_Note9,contains description,0,0,1
1,120,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,185.49,None,Space Gray,Galaxy_S8,no description,21,1,0
0,350,None,White,Galaxy_S8,contains description,0,0,1
1,150,AT&T,White,Galaxy_S9,contains description,0,0,1
0,179.96,None,Space Gray,Galaxy_S8,contains description,0,0,0
1,242,Verizon,,Galaxy_Note10,contains description,0,0,1
0,389.99,None,Space Gray,Galaxy_Note10,contains description,0,0,1
0,95,None,,Galaxy_S7,contains description,0,0,0
1,264.95,None,Midnight Black,Galaxy_S9,no description,97,14,0
1,75,None,,Galaxy_S8,no description,33,1,1
0,15,None,Black,Unknown,contains description,0,0,0
0,165,,Black,Unknown,no description,49,1,0
1,49.99,None,,Galaxy_S7,no description,46,1,1
1,187,None,,Galaxy_Note10,no description,100,5,1
1,100,,Black,Unknown,no description,18,1,1
0,15,None,Black,Unknown,contains description,0,0,0
1,150,None,White,Galaxy_S8,contains description,0,0,1
1,71,None,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,200,AT&T,,Galaxy_Note8,no description,101,4,1
1,0.99,,Space Gray,Galaxy_Note10,contains description,0,0,1
1,299,None,,Galaxy_Note10,contains description,0,0,1
1,30,,,Galaxy_S7,contains description,0,0,1
1,0.99,None,,Galaxy_S9,contains description,0,0,1
1,0.99,Sprint/T-Mobile,Aura Black,Galaxy_Note10,contains description,0,0,1
1,179,,Midnight Black,Galaxy_S8,no description,80,66,0
1,75,None,,Galaxy_S7,contains description,0,0,1
1,70,None,,Galaxy_S8,no description,57,2,1
1,150,None,,Galaxy_S8,contains description,0,0,1
1,120,None,White,Galaxy_Note9,contains description,0,0,0
0,280,,Midnight Black,Galaxy_S9,contains description,0,0,0
1,33,None,,Galaxy_S7,contains description,0,0,1
1,89.99,None,White,Galaxy_Note8,contains description,0,0,0
1,115,None,Midnight Black,Galaxy_S9,no description,59,2,1
1,9.5,None,,Galaxy_S7,no description,11,2,1
1,0.99,,,Unknown,no description,101,76,1
1,0.99,,,Unknown,contains description,0,0,1
1,0.99,None,,Unknown,contains description,0,0,1
1,350,Verizon,,Galaxy_S9,contains description,0,0,0
0,249.99,Verizon,Midnight Black,Galaxy_S9,no description,94,5,0
1,200,None,White,Galaxy_S9,no description,98,3,1
0,310,,White,Galaxy_S9,no description,93,4,0
1,245,Verizon,,Galaxy_Note10,contains description,0,0,1
0,458,Sprint/T-Mobile,White,Galaxy_Note9,contains description,0,0,0
0,265,,White,Galaxy_S9,no description,100,4,0
1,89,,White,Galaxy_S7,contains description,0,0,1
1,0.99,Verizon,,Galaxy_Note8,contains description,0,0,1
0,249.97,None,Midnight Black,Galaxy_Note8,contains description,0,0,0
0,249.99,None,,Galaxy_S9,no description,101,4,0
1,250,AT&T,Midnight Black,Galaxy_Note8,contains description,0,0,1
0,500,None,Space Gray,Galaxy_Note10,no description,95,5,1
1,100,None,White,Galaxy_S8,no description,32,0,1
1,1,None,Gold,Galaxy_Note10,contains description,0,0,1
1,299,None,White,Galaxy_Note10,contains description,0,0,1
1,0.99,None,,Galaxy_S7,contains description,0,0,1
1,9.99,None,White,Galaxy_Note8,contains description,0,0,1
1,50,None,,Galaxy_S8,no description,98,0,1
1,99.99,None,White,Galaxy_S9,contains description,0,0,1
1,0.01,None,,Galaxy_S7,no description,62,2,1
1,248.18,None,,Galaxy_Note9,contains description,0,0,1
1,50,None,,Galaxy_S7,contains description,0,0,1
1,200,None,,Galaxy_Note10,no description,38,1,1
1,0.99,None,,Galaxy_S7,no description,31,1,1
0,185,,,Unknown,contains description,0,0,0
1,1.99,,Space Gray,Galaxy_Note10,no description,41,33,1
1,125,None,White,Galaxy_S9,contains description,0,0,1
1,190,None,,Galaxy_Note8,contains description,0,0,0
1,150,None,White,Galaxy_S9,contains description,0,0,1
